Metascore,NameGame,NameConsole,Userscore,NameCompany,Fecha
84,Lego Star Wars II: The Original Trilogy,GC,8.6,Nintendo,2006-09-12 00:00:00.0
93,Grand Theft Auto: Chinatown Wars,DS,8.2,Nintendo,2009-03-17 00:00:00.0
92,Vagrant Story,PS,9.0,Sony,2000-05-15 00:00:00.0
91,Klonoa 2: Lunatea's Veil,PS2,9.0,Sony,2001-07-25 00:00:00.0
90,Guacamelee! Super Turbo Championship Edition,WIIU,7.6,Nintendo,2014-07-02 00:00:00.0
89,Okami HD,Switch,8.7,Nintendo,2018-08-09 00:00:00.0
89,Tom Clancy's Splinter Cell Double Agent,XBOX,8.1,Microsoft,2006-10-24 00:00:00.0
89,Dragon Age: Inquisition,PS4,7.4,Sony,2014-11-18 00:00:00.0
88,Art of Balance,WII,8.2,Nintendo,2010-02-15 00:00:00.0
87,The Swapper,PC,8.7,PC,2013-05-30 00:00:00.0
87,NBA 2K14,X360,4.9,Microsoft,2013-10-01 00:00:00.0
86,Minecraft: PlayStation 3 Edition,PS3,6.7,Sony,2013-12-17 00:00:00.0
86,Daytona USA,DC,8.6,Sega,2001-03-12 00:00:00.0
86,Forza Horizon 2,XONE,8.3,Microsoft,2014-09-30 00:00:00.0
85,Super Smash Bros. for Nintendo 3DS,3DS,8.6,Nintendo,2014-10-03 00:00:00.0
85,Tetris,PSP,8.7,Sony,2009-10-01 00:00:00.0
84,Star Wars: Episode I Battle for Naboo,N64,7.9,Nintendo,2000-12-18 00:00:00.0
84,Super Mario Advance,GBA,7.3,Nintendo,2001-06-10 00:00:00.0
84,PixelJunk Monsters: Ultimate HD,VITA,7.6,Sony,2013-07-30 00:00:00.0
83,Harvest Moon: Magical Melody,GC,8.8,Nintendo,2006-03-28 00:00:00.0
